size=large; appearance=dark; increaseContrast=false; bold=false; reduceTransparency=false
 | ALTERNATIVES | {{20, 220.66666666666666}, {400, 40.333333333333343}}
 | にっぽん | {{20, 261}, {400, 52}}
 | MEANING | {{20, 330.33333333333337}, {400, 40.333333333333314}}
 | 1. Japan | {{20, 370.66666666666669}, {400, 52}}
 | KANJI | {{20, 440.33333333333331}, {400, 40.333333333333371}}
 | 日 | {{20, 480.66666666666669}, {400, 52.000000000000057}}
 | NOTES | {{20, 550}, {400, 40.333333333333371}}
 | Add Note | {{20, 590.33333333333326}, {400, 52}}
square.and.pencil | Compose | {{42.666666666666664, 604.99999999999989}, {22.666667938232415, 22.666667938232422}}
 | Add Note | {{42.666667938232422, 605}, {108.99998474121094, 22.66668701171875}}
